word,weight
รูป,3
ภาพ,3
สี,3
สีสัน,3
ไอคอน,3
ลาย,3
ฟอนต์,3
ตัวหนังสือ,3
ไว,3
เร็ว,3
นาน,3
ช้า,3
ตกแต่ง,2
เร็ว,2
