word,weight
แต่ไม่,2
ถึงแม้,2
ถึงไม่,2
ไม่เป็นไร,2
ไม่เป็นอะไร,2
อะไรก็ได้,2
ชอบ,2
ก็ได้,1
ก็ดี,1
สี,1
รูป,1
ลาย,1
สวย,1
